date,number_of_strikes,center_point_geom
2018-02-07,332,POINT(-97.5 29.6)
2018-02-07,303,POINT(-97.4 29.6)
2018-02-07,211,POINT(-97.3 29.6)
2018-02-07,219,POINT(-97.2 29.6)
2018-02-07,116,POINT(-97.1 29.6)
2018-02-07,58,POINT(-96.5 29.6)
2018-02-07,77,POINT(-96.4 29.6)
2018-02-07,113,POINT(-96.3 29.6)
2018-02-07,78,POINT(-96.2 29.6)
2018-02-07,31,POINT(-96.1 29.6)
2018-02-07,41,POINT(-95.1 29.6)
2018-02-07,31,POINT(-91.6 34.1)
2018-02-07,45,POINT(-91.5 34.1)
2018-02-07,81,POINT(-91.4 34.1)
2018-02-07,82,POINT(-91.3 34.1)
2018-02-07,28,POINT(-91.2 34.1)
2018-02-07,28,POINT(-91.1 34.1)
2018-02-07,62,POINT(-90.9 34.1)
2018-02-07,78,POINT(-90.8 34.1)
2018-02-07,71,POINT(-90.7 34.1)
2018-02-07,42,POINT(-90.6 34.1)
2018-02-07,48,POINT(-90.5 34.1)
2018-02-07,32,POINT(-90.4 34.1)
2018-02-07,58,POINT(-90.3 34.1)
2018-02-07,26,POINT(-89.2 34.1)
2018-02-07,42,POINT(-89.1 34.1)
2018-02-07,28,POINT(-88.9 34.1)
2018-02-07,26,POINT(-88.8 34.1)
2018-02-07,28,POINT(-88.3 34.1)
2018-02-07,49,POINT(-91.5 33.9)
2018-02-07,56,POINT(-91.4 33.9)
2018-02-07,52,POINT(-91.2 33.9)
2018-02-07,62,POINT(-91.1 33.9)
2018-02-07,45,POINT(-90.9 33.9)
2018-02-07,35,POINT(-90.8 33.9)
2018-02-07,31,POINT(-94.6 34.2)
2018-02-07,33,POINT(-94.5 34.2)
2018-02-07,40,POINT(-91.4 34.2)
2018-02-07,80,POINT(-91.3 34.2)
2018-02-07,40,POINT(-91.2 34.2)
2018-02-07,63,POINT(-91.1 34.2)
2018-02-07,52,POINT(-90.9 34.2)
2018-02-07,33,POINT(-90.8 34.2)
2018-02-07,34,POINT(-90.7 34.2)
2018-02-07,32,POINT(-90.6 34.2)
2018-02-07,33,POINT(-90.5 34.2)
2018-02-07,45,POINT(-90.4 34.2)
2018-02-07,52,POINT(-90.3 34.2)
2018-02-07,69,POINT(-90.2 34.2)
2018-02-07,85,POINT(-90.1 34.2)
2018-02-07,23,POINT(-89.7 34.2)
2018-02-07,28,POINT(-89.6 34.2)
2018-02-07,32,POINT(-89.5 34.2)
2018-02-07,33,POINT(-89.4 34.2)
2018-02-07,26,POINT(-89.1 34.2)
2018-02-07,74,POINT(-91 34.1)
2018-02-07,40,POINT(-89 34.1)
2018-02-07,25,POINT(-91.3 34.3)
2018-02-07,48,POINT(-91.2 34.3)
2018-02-07,43,POINT(-91.1 34.3)
2018-02-07,50,POINT(-90.9 34.3)
2018-02-07,44,POINT(-90.8 34.3)
2018-02-07,29,POINT(-90.7 34.3)
2018-02-07,64,POINT(-90.6 34.3)
2018-02-07,41,POINT(-90.5 34.3)
2018-02-07,43,POINT(-90.4 34.3)
2018-02-07,29,POINT(-90.2 34.3)
2018-02-07,167,POINT(-89.9 34.3)
2018-02-07,63,POINT(-89.8 34.3)
2018-02-07,31,POINT(-89.7 34.3)
2018-02-07,23,POINT(-89.4 34.3)
2018-02-07,26,POINT(-89.3 34.3)
2018-02-07,29,POINT(-88.7 34.3)
2018-02-07,44,POINT(-91 34.2)
2018-02-07,81,POINT(-90 34.2)
2018-02-07,36,POINT(-89 34.2)
2018-02-07,91,POINT(-97 29.7)
2018-02-07,74,POINT(-96 29.7)
2018-02-07,29,POINT(-97.9 29.7)
2018-02-07,246,POINT(-97.8 29.7)
2018-02-07,614,POINT(-97.7 29.7)
2018-02-07,356,POINT(-97.6 29.7)
2018-02-07,189,POINT(-97.5 29.7)
2018-02-07,126,POINT(-97.4 29.7)
2018-02-07,120,POINT(-97.3 29.7)
2018-02-07,290,POINT(-97.2 29.7)
2018-02-07,355,POINT(-97.1 29.7)
2018-02-07,113,POINT(-96.9 29.7)
2018-02-07,40,POINT(-96.8 29.7)
2018-02-07,59,POINT(-96.7 29.7)
2018-02-07,49,POINT(-88.9 34.2)
2018-02-07,29,POINT(-88.8 34.2)
2018-02-07,25,POINT(-88.7 34.2)
2018-02-07,55,POINT(-91 34.3)
2018-02-07,128,POINT(-90 34.3)
2018-02-07,28,POINT(-94.3 34.3)
2018-02-07,29,POINT(-95.2 29.7)
2018-02-07,31,POINT(-94.4 29.7)
2018-02-07,76,POINT(-94.3 29.7)
2018-02-07,38,POINT(-94.2 29.7)
2018-02-07,32,POINT(-94.1 29.7)
2018-02-07,654,POINT(-97 29.8)
2018-02-07,33,POINT(-96 29.8)
2018-02-07,33,POINT(-95 29.8)
2018-02-07,82,POINT(-94 29.8)
2018-02-07,38,POINT(-97.7 29.8)
2018-02-07,103,POINT(-97.6 29.8)
2018-02-07,197,POINT(-97.5 29.8)
2018-02-07,212,POINT(-97.4 29.8)
2018-02-07,133,POINT(-97.3 29.8)
2018-02-07,216,POINT(-97.2 29.8)
2018-02-07,378,POINT(-97.1 29.8)
2018-02-07,264,POINT(-96.9 29.8)
2018-02-07,248,POINT(-96.8 29.8)
2018-02-07,196,POINT(-96.7 29.8)
2018-02-07,156,POINT(-96.6 29.8)
2018-02-07,155,POINT(-96.5 29.8)
2018-02-07,200,POINT(-96.4 29.8)
2018-02-07,128,POINT(-96.3 29.8)
2018-02-07,104,POINT(-96.2 29.8)
2018-02-07,32,POINT(-96.1 29.8)
2018-02-07,41,POINT(-94.9 29.6)
2018-02-07,33,POINT(-94.8 29.6)
2018-02-07,33,POINT(-94.7 29.6)
2018-02-07,69,POINT(-94.6 29.6)
2018-02-07,71,POINT(-94.5 29.6)
2018-02-07,63,POINT(-94.4 29.6)
2018-02-07,43,POINT(-94.3 29.6)
2018-02-07,40,POINT(-94.5 29.8)
2018-02-07,28,POINT(-94.4 29.8)
2018-02-07,29,POINT(-94.3 29.8)
2018-02-07,29,POINT(-94.2 29.8)
2018-02-07,63,POINT(-93.9 29.8)
2018-02-07,28,POINT(-93.8 29.8)
2018-02-07,23,POINT(-86.9 29.8)
2018-02-07,63,POINT(-97 29.9)
2018-02-07,52,POINT(-96 29.9)
2018-02-07,174,POINT(-87 29.9)
2018-02-07,31,POINT(-97.3 29.9)
2018-02-07,41,POINT(-97.2 29.9)
2018-02-07,46,POINT(-97.1 29.9)
2018-02-07,172,POINT(-96.9 29.9)
2018-02-07,295,POINT(-96.8 29.9)
2018-02-07,320,POINT(-96.7 29.9)
2018-02-07,66,POINT(-96.6 29.7)
2018-02-07,50,POINT(-96.5 29.7)
2018-02-07,58,POINT(-96.4 29.7)
2018-02-07,40,POINT(-96.3 29.7)
2018-02-07,39,POINT(-96.2 29.7)
2018-02-07,42,POINT(-96.1 29.7)
2018-02-07,52,POINT(-95.9 29.7)
2018-02-07,47,POINT(-94.9 29.9)
2018-02-07,66,POINT(-94.8 29.9)
2018-02-07,41,POINT(-94.7 29.9)
2018-02-07,47,POINT(-94.4 29.9)
2018-02-07,45,POINT(-94.3 29.9)
2018-02-07,43,POINT(-94.2 29.9)
2018-02-07,73,POINT(-94.1 29.9)
2018-02-07,29,POINT(-87.6 29.9)
2018-02-07,69,POINT(-87.5 29.9)
2018-02-07,43,POINT(-87.3 29.9)
2018-02-07,55,POINT(-87.2 29.9)
2018-02-07,289,POINT(-87.1 29.9)
2018-02-07,94,POINT(-86.9 29.9)
2018-02-07,64,POINT(-86.8 29.9)
2018-02-07,174,POINT(-97 30.1)
2018-02-07,28,POINT(-95.9 29.8)
2018-02-07,31,POINT(-95.8 29.8)
2018-02-07,51,POINT(-95.6 29.8)
2018-02-07,53,POINT(-95.5 29.8)
2018-02-07,40,POINT(-95.4 29.8)
2018-02-07,23,POINT(-95.3 29.8)
2018-02-07,38,POINT(-94.9 29.8)
2018-02-07,28,POINT(-94.8 29.8)
2018-02-07,251,POINT(-96.8 30.1)
2018-02-07,144,POINT(-96.7 30.1)
2018-02-07,212,POINT(-96.6 30.1)
2018-02-07,371,POINT(-96.5 30.1)
2018-02-07,210,POINT(-96.4 30.1)
2018-02-07,113,POINT(-96.3 30.1)
2018-02-07,87,POINT(-96.2 30.1)
2018-02-07,43,POINT(-96.1 30.1)
2018-02-07,84,POINT(-95.9 30.1)
2018-02-07,64,POINT(-95.8 30.1)
2018-02-07,52,POINT(-95.7 30.1)
2018-02-07,56,POINT(-95.6 30.1)
2018-02-07,39,POINT(-95.5 30.1)
2018-02-07,41,POINT(-94.8 30.1)
2018-02-07,61,POINT(-94.7 30.1)
2018-02-07,69,POINT(-94.6 30.1)
2018-02-07,128,POINT(-94.5 30.1)
2018-02-07,99,POINT(-94.4 30.1)
2018-02-07,93,POINT(-94.3 30.1)
2018-02-07,95,POINT(-94.2 30.1)
2018-02-07,60,POINT(-94.1 30.1)
2018-02-07,34,POINT(-92.8 30.1)
2018-02-07,41,POINT(-92.7 30.1)
2018-02-07,25,POINT(-92.6 30.1)
2018-02-07,40,POINT(-92.5 30.1)
2018-02-07,28,POINT(-88.4 34.3)
2018-02-07,25,POINT(-88.3 34.3)
2018-02-07,227,POINT(-96.6 29.9)
2018-02-07,136,POINT(-96.5 29.9)
2018-02-07,137,POINT(-96.4 29.9)
2018-02-07,108,POINT(-96.3 29.9)
2018-02-07,66,POINT(-96.2 29.9)
2018-02-07,48,POINT(-96.1 29.9)
2018-02-07,53,POINT(-95.9 29.9)
2018-02-07,50,POINT(-95.8 29.9)
2018-02-07,59,POINT(-95.7 29.9)
2018-02-07,42,POINT(-95.6 29.9)
2018-02-07,54,POINT(-95.5 29.9)
2018-02-07,23,POINT(-90.7 34.4)
2018-02-07,33,POINT(-90.6 34.4)
2018-02-07,38,POINT(-90.5 34.4)
2018-02-07,47,POINT(-89.8 34.4)
2018-02-07,65,POINT(-89.7 34.4)
2018-02-07,34,POINT(-89.6 34.4)
2018-02-07,25,POINT(-88.9 34.4)
2018-02-07,75,POINT(-96 30.1)
2018-02-07,53,POINT(-94 30.1)
2018-02-07,23,POINT(-87 30.1)
2018-02-07,71,POINT(-85 30.1)
2018-02-07,90,POINT(-97.1 30.1)
2018-02-07,261,POINT(-96.9 30.1)
2018-02-07,26,POINT(-89.5 34.5)
2018-02-07,31,POINT(-89.3 34.5)
2018-02-07,39,POINT(-89.2 34.5)
2018-02-07,25,POINT(-88.7 34.5)
2018-02-07,25,POINT(-89 34.6)
2018-02-07,38,POINT(-89.2 34.6)
2018-02-07,28,POINT(-89.1 34.6)
2018-02-07,37,POINT(-89 34.4)
2018-02-07,26,POINT(-89.6 34.7)
2018-02-07,32,POINT(-88.9 34.7)
2018-02-07,31,POINT(-88.8 34.7)
2018-02-07,23,POINT(-92.2 34.8)
2018-02-07,23,POINT(-89.3 34.9)
2018-02-07,55,POINT(-87.2 30.1)
2018-02-07,33,POINT(-87.1 30.1)
2018-02-07,25,POINT(-86.9 30.1)
2018-02-07,23,POINT(-86.8 30.1)
2018-02-07,42,POINT(-86.6 30.1)
2018-02-07,39,POINT(-91.2 35.1)
2018-02-07,46,POINT(-88.8 34.8)
2018-02-07,26,POINT(-88.7 34.8)
2018-02-07,48,POINT(-94.4 30.3)
2018-02-07,25,POINT(-94.3 30.3)
2018-02-07,48,POINT(-96 30.2)
2018-02-07,31,POINT(-95 30.2)
2018-02-07,82,POINT(-94 30.2)
2018-02-07,25,POINT(-92 30.2)
2018-02-07,38,POINT(-96.9 30.2)
2018-02-07,176,POINT(-96.8 30.2)
2018-02-07,289,POINT(-96.7 30.2)
2018-02-07,155,POINT(-96.6 30.2)
2018-02-07,147,POINT(-96.5 30.2)
2018-02-07,155,POINT(-96.4 30.2)
2018-02-07,75,POINT(-96.3 30.2)
2018-02-07,76,POINT(-96.2 30.2)
2018-02-07,97,POINT(-96.1 30.2)
2018-02-07,96,POINT(-95.9 30.2)
2018-02-07,82,POINT(-95.8 30.2)
2018-02-07,60,POINT(-95.7 30.2)
2018-02-07,39,POINT(-95.6 30.2)
2018-02-07,32,POINT(-95.5 30.2)
2018-02-07,25,POINT(-95.4 30.2)
2018-02-07,29,POINT(-95.3 30.2)
2018-02-07,78,POINT(-95.1 30.2)
2018-02-07,34,POINT(-94.5 30.2)
2018-02-07,36,POINT(-94.4 30.2)
2018-02-07,37,POINT(-94.2 30.2)
2018-02-07,40,POINT(-94.1 30.2)
2018-02-07,60,POINT(-93.9 30.2)
2018-02-07,40,POINT(-93.8 30.2)
2018-02-07,33,POINT(-93.7 30.2)
2018-02-07,33,POINT(-96 30.4)
2018-02-07,41,POINT(-94 30.4)
2018-02-07,37,POINT(-88.2 30.2)
2018-02-07,29,POINT(-86.8 30.2)
2018-02-07,23,POINT(-86.5 30.2)
2018-02-07,23,POINT(-86.1 30.2)
2018-02-07,31,POINT(-96 30.3)
2018-02-07,66,POINT(-95 30.3)
2018-02-07,32,POINT(-94 30.3)
2018-02-07,42,POINT(-93 30.3)
2018-02-07,31,POINT(-88 30.3)
2018-02-07,151,POINT(-87 30.3)
2018-02-07,23,POINT(-85 30.3)
2018-02-07,46,POINT(-97.1 30.3)
2018-02-07,35,POINT(-96.7 30.3)
2018-02-07,131,POINT(-96.6 30.3)
2018-02-07,123,POINT(-96.5 30.3)
2018-02-07,128,POINT(-96.4 30.3)
2018-02-07,92,POINT(-96.3 30.3)
2018-02-07,110,POINT(-96.2 30.3)
2018-02-07,40,POINT(-96.1 30.3)
2018-02-07,89,POINT(-95.8 30.3)
2018-02-07,139,POINT(-95.7 30.3)
2018-02-07,85,POINT(-95.6 30.3)
2018-02-07,33,POINT(-95.5 30.3)
2018-02-07,31,POINT(-95.3 30.3)
2018-02-07,29,POINT(-95.1 30.3)
2018-02-07,76,POINT(-94.9 30.3)
2018-02-07,52,POINT(-94.8 30.3)
2018-02-07,38,POINT(-94.1 30.3)
2018-02-07,36,POINT(-93.1 30.3)
2018-02-07,43,POINT(-92.9 30.3)
2018-02-07,23,POINT(-92.8 30.3)
2018-02-07,26,POINT(-92.2 30.3)
2018-02-07,49,POINT(-88.1 30.3)
2018-02-07,25,POINT(-87.9 30.3)
2018-02-07,39,POINT(-87.8 30.3)
2018-02-07,36,POINT(-87.7 30.3)
2018-02-07,32,POINT(-87.5 30.3)
2018-02-07,36,POINT(-87.1 30.3)
2018-02-07,421,POINT(-86.9 30.3)
2018-02-07,554,POINT(-86.8 30.3)
2018-02-07,691,POINT(-86.7 30.3)
2018-02-07,328,POINT(-86.6 30.3)
2018-02-07,136,POINT(-86.5 30.3)
2018-02-07,56,POINT(-86.4 30.3)
2018-02-07,117,POINT(-85.4 30.3)
2018-02-07,110,POINT(-85.3 30.3)
2018-02-07,185,POINT(-85.2 30.3)
2018-02-07,88,POINT(-85.1 30.3)
2018-02-07,23,POINT(-84.9 30.3)
2018-02-07,42,POINT(-92 30.4)
2018-02-07,102,POINT(-88 30.4)
2018-02-07,562,POINT(-87 30.4)
2018-02-07,54,POINT(-85 30.4)
2018-02-07,26,POINT(-97.1 30.4)
2018-02-07,94,POINT(-96.4 30.4)
2018-02-07,201,POINT(-96.3 30.4)
2018-02-07,147,POINT(-96.2 30.4)
2018-02-07,64,POINT(-96.1 30.4)
2018-02-07,54,POINT(-95.9 30.4)
2018-02-07,52,POINT(-95.7 30.4)
2018-02-07,72,POINT(-95.6 30.4)
2018-02-07,71,POINT(-95.5 30.4)
2018-02-07,31,POINT(-95.4 30.4)
2018-02-07,37,POINT(-95.1 30.4)
2018-02-07,33,POINT(-94.8 30.4)
2018-02-07,63,POINT(-94.7 30.4)
2018-02-07,39,POINT(-94.6 30.4)
2018-02-07,31,POINT(-93.9 30.4)
2018-02-07,34,POINT(-93.4 30.4)
2018-02-07,36,POINT(-92.9 30.4)
2018-02-07,28,POINT(-92.8 30.4)
2018-02-07,49,POINT(-92.6 30.4)
2018-02-07,43,POINT(-92.5 30.4)
2018-02-07,35,POINT(-92.1 30.4)
2018-02-07,28,POINT(-91.9 30.4)
2018-02-07,32,POINT(-91.8 30.4)
2018-02-07,47,POINT(-89.7 35.6)
2018-02-07,55,POINT(-89.6 35.6)
2018-02-07,34,POINT(-89.4 35.6)
2018-02-07,160,POINT(-87.9 30.4)
2018-02-07,200,POINT(-87.8 30.4)
2018-02-07,266,POINT(-87.7 30.4)
2018-02-07,358,POINT(-87.6 30.4)
2018-02-07,311,POINT(-87.5 30.4)
2018-02-07,213,POINT(-87.4 30.4)
2018-02-07,249,POINT(-87.3 30.4)
2018-02-07,26,POINT(-89.6 35.2)
2018-02-07,33,POINT(-91.7 35.3)
2018-02-07,23,POINT(-91.3 35.4)
2018-02-07,87,POINT(-89.8 35.5)
2018-02-07,62,POINT(-89.7 35.5)
2018-02-07,25,POINT(-88 35.7)
2018-02-07,42,POINT(-89.5 35.7)
2018-02-07,25,POINT(-89.4 35.7)
2018-02-07,36,POINT(-87.9 35.7)
2018-02-07,38,POINT(-88.8 35.9)
2018-02-07,33,POINT(-93.2 30.5)
2018-02-07,331,POINT(-87.2 30.4)
2018-02-07,265,POINT(-87.1 30.4)
2018-02-07,332,POINT(-86.9 30.4)
2018-02-07,481,POINT(-86.8 30.4)
2018-02-07,223,POINT(-86.7 30.4)
2018-02-07,270,POINT(-86.6 30.4)
2018-02-07,161,POINT(-86.5 30.4)
2018-02-07,230,POINT(-86.4 30.4)
2018-02-07,93,POINT(-86.3 30.4)
2018-02-07,123,POINT(-86.2 30.4)
2018-02-07,38,POINT(-86.1 30.4)
2018-02-07,48,POINT(-85.7 30.4)
2018-02-07,107,POINT(-85.6 30.4)
2018-02-07,48,POINT(-85.5 30.4)
2018-02-07,123,POINT(-85.4 30.4)
2018-02-07,136,POINT(-85.3 30.4)
2018-02-07,219,POINT(-85.2 30.4)
2018-02-07,33,POINT(-91.4 36.3)
2018-02-07,37,POINT(-88.6 36.3)
2018-02-07,32,POINT(-82.2 30.5)
2018-02-07,32,POINT(-82.1 30.5)
2018-02-07,42,POINT(-96 30.6)
2018-02-07,54,POINT(-93 30.6)
2018-02-07,152,POINT(-85.1 30.4)
2018-02-07,82,POINT(-96 30.5)
2018-02-07,56,POINT(-90 30.5)
2018-02-07,206,POINT(-87 30.5)
2018-02-07,29,POINT(-96.3 30.5)
2018-02-07,47,POINT(-96.2 30.5)
2018-02-07,88,POINT(-96.1 30.5)
2018-02-07,46,POINT(-95.9 30.5)
2018-02-07,74,POINT(-95.8 30.5)
2018-02-07,29,POINT(-94.3 30.5)
2018-02-07,36,POINT(-93.9 30.5)
2018-02-07,91,POINT(-93.8 30.5)
2018-02-07,60,POINT(-93.7 30.5)
2018-02-07,23,POINT(-91.3 30.6)
2018-02-07,42,POINT(-92.4 30.5)
2018-02-07,42,POINT(-91.9 30.5)
2018-02-07,47,POINT(-91.8 30.5)
2018-02-07,46,POINT(-91.7 30.5)
2018-02-07,46,POINT(-91.6 30.5)
2018-02-07,40,POINT(-89.9 30.5)
2018-02-07,96,POINT(-87.9 30.5)
2018-02-07,134,POINT(-87.8 30.5)
2018-02-07,151,POINT(-87.7 30.5)
2018-02-07,180,POINT(-87.6 30.5)
2018-02-07,205,POINT(-87.5 30.5)
2018-02-07,104,POINT(-87.4 30.5)
2018-02-07,84,POINT(-87.3 30.5)
2018-02-07,347,POINT(-87.2 30.5)
2018-02-07,517,POINT(-87.1 30.5)
2018-02-07,232,POINT(-86.9 30.5)
2018-02-07,127,POINT(-86.8 30.5)
2018-02-07,123,POINT(-86.7 30.5)
2018-02-07,60,POINT(-86.6 30.5)
2018-02-07,44,POINT(-86.5 30.5)
2018-02-07,33,POINT(-86.4 30.5)
2018-02-07,26,POINT(-86.3 30.5)
2018-02-07,35,POINT(-86.2 30.5)
2018-02-07,108,POINT(-86.1 30.5)
2018-02-07,33,POINT(-85.8 30.5)
2018-02-07,80,POINT(-87 30.7)
2018-02-07,83,POINT(-86 30.7)
2018-02-07,58,POINT(-85 30.7)
2018-02-07,176,POINT(-87 30.6)
2018-02-07,141,POINT(-86 30.6)
2018-02-07,77,POINT(-96.8 30.6)
2018-02-07,34,POINT(-96.7 30.6)
2018-02-07,36,POINT(-96.3 30.6)
2018-02-07,41,POINT(-96.2 30.6)
2018-02-07,50,POINT(-96.1 30.6)
2018-02-07,23,POINT(-95.9 30.6)
2018-02-07,41,POINT(-95.8 30.6)
2018-02-07,57,POINT(-95.7 30.6)
2018-02-07,64,POINT(-95.6 30.6)
2018-02-07,115,POINT(-95.5 30.6)
2018-02-07,46,POINT(-95.4 30.6)
2018-02-07,66,POINT(-94.1 30.6)
2018-02-07,64,POINT(-93.5 30.6)
2018-02-07,77,POINT(-92.9 30.6)
2018-02-07,26,POINT(-92.8 30.6)
2018-02-07,26,POINT(-92.6 30.6)
2018-02-07,73,POINT(-92.5 30.6)
2018-02-07,34,POINT(-91.7 30.6)
2018-02-07,32,POINT(-91.6 30.6)
2018-02-07,26,POINT(-91.5 30.6)
2018-02-07,43,POINT(-89.8 30.6)
2018-02-07,73,POINT(-87.8 30.6)
2018-02-07,109,POINT(-87.7 30.6)
2018-02-07,69,POINT(-87.6 30.6)
2018-02-07,83,POINT(-87.5 30.6)
2018-02-07,98,POINT(-87.4 30.6)
2018-02-07,114,POINT(-87.3 30.6)
2018-02-07,146,POINT(-87.2 30.6)
2018-02-07,121,POINT(-87.1 30.6)
2018-02-07,361,POINT(-86.9 30.6)
2018-02-07,242,POINT(-86.8 30.6)
2018-02-07,339,POINT(-86.7 30.6)
2018-02-07,207,POINT(-86.6 30.6)
2018-02-07,227,POINT(-86.5 30.6)
2018-02-07,72,POINT(-86.4 30.6)
2018-02-07,126,POINT(-86.3 30.6)
2018-02-07,71,POINT(-86.2 30.6)
2018-02-07,68,POINT(-86.1 30.6)
2018-02-07,143,POINT(-85.9 30.6)
2018-02-07,117,POINT(-85.8 30.6)
2018-02-07,99,POINT(-85.7 30.6)
2018-02-07,66,POINT(-85.6 30.6)
2018-02-07,25,POINT(-85.5 30.6)
2018-02-07,44,POINT(-85.4 30.6)
2018-02-07,42,POINT(-85.3 30.6)
2018-02-07,49,POINT(-85.1 30.6)
2018-02-07,37,POINT(-84.9 30.6)
2018-02-07,34,POINT(-84.8 30.6)
2018-02-07,58,POINT(-92 30.7)
2018-02-07,47,POINT(-96.6 30.7)
2018-02-07,25,POINT(-96.5 30.7)
2018-02-07,35,POINT(-95.9 30.7)
2018-02-07,37,POINT(-95.8 30.7)
2018-02-07,35,POINT(-95.7 30.7)
2018-02-07,40,POINT(-95.6 30.7)
2018-02-07,71,POINT(-95.5 30.7)
2018-02-07,81,POINT(-95.4 30.7)
2018-02-07,76,POINT(-95.3 30.7)
2018-02-07,38,POINT(-87.7 30.7)
2018-02-07,54,POINT(-87.6 30.7)
2018-02-07,116,POINT(-87.5 30.7)
2018-02-07,153,POINT(-87.4 30.7)
2018-02-07,96,POINT(-87.3 30.7)
2018-02-07,78,POINT(-87.2 30.7)
2018-02-07,124,POINT(-87.1 30.7)
2018-02-07,164,POINT(-86.9 30.7)
2018-02-07,78,POINT(-86.8 30.7)
2018-02-07,85,POINT(-86.7 30.7)
2018-02-07,95,POINT(-86.6 30.7)
2018-02-07,81,POINT(-86.5 30.7)
2018-02-07,52,POINT(-86.4 30.7)
2018-02-07,68,POINT(-86.3 30.7)
2018-02-07,122,POINT(-86.2 30.7)
2018-02-07,143,POINT(-86.1 30.7)
2018-02-07,182,POINT(-85.9 30.7)
2018-02-07,124,POINT(-85.8 30.7)
2018-02-07,108,POINT(-85.7 30.7)
2018-02-07,28,POINT(-95.3 30.8)
2018-02-07,63,POINT(-95.2 30.8)
2018-02-07,71,POINT(-95.1 30.8)
2018-02-07,55,POINT(-94.3 30.8)
2018-02-07,46,POINT(-93.7 30.8)
2018-02-07,46,POINT(-93.6 30.8)
2018-02-07,54,POINT(-93.4 30.8)
2018-02-07,200,POINT(-93.3 30.8)
2018-02-07,50,POINT(-93.9 30.7)
2018-02-07,41,POINT(-93.8 30.7)
2018-02-07,31,POINT(-93.6 30.7)
2018-02-07,35,POINT(-93.5 30.7)
2018-02-07,95,POINT(-92.9 30.7)
2018-02-07,462,POINT(-92.8 30.7)
2018-02-07,405,POINT(-92.7 30.7)
2018-02-07,131,POINT(-92.6 30.7)
2018-02-07,81,POINT(-92.5 30.7)
2018-02-07,52,POINT(-92.4 30.7)
2018-02-07,69,POINT(-92.3 30.7)
2018-02-07,83,POINT(-92.2 30.7)
2018-02-07,112,POINT(-92.1 30.7)
2018-02-07,42,POINT(-91.7 30.7)
2018-02-07,41,POINT(-90.8 30.7)
2018-02-07,53,POINT(-90.7 30.7)
2018-02-07,25,POINT(-90.5 30.7)
2018-02-07,58,POINT(-87.4 30.8)
2018-02-07,82,POINT(-87.3 30.8)
2018-02-07,97,POINT(-87.2 30.8)
2018-02-07,67,POINT(-87.1 30.8)
2018-02-07,71,POINT(-86.9 30.8)
2018-02-07,191,POINT(-86.8 30.8)
2018-02-07,75,POINT(-86.7 30.8)
2018-02-07,186,POINT(-86.6 30.8)
2018-02-07,106,POINT(-86.5 30.8)
2018-02-07,74,POINT(-86.4 30.8)
2018-02-07,50,POINT(-86.3 30.8)
2018-02-07,65,POINT(-86.2 30.8)
2018-02-07,45,POINT(-86.1 30.8)
2018-02-07,41,POINT(-85.9 30.8)
2018-02-07,74,POINT(-85.8 30.8)
2018-02-07,129,POINT(-85.7 30.8)
2018-02-07,192,POINT(-85.6 30.8)
2018-02-07,129,POINT(-85.5 30.8)
2018-02-07,142,POINT(-85.4 30.8)
2018-02-07,70,POINT(-85.3 30.8)
2018-02-07,88,POINT(-85.2 30.8)
2018-02-07,116,POINT(-85.6 30.7)
2018-02-07,195,POINT(-85.5 30.7)
2018-02-07,117,POINT(-85.4 30.7)
2018-02-07,196,POINT(-85.3 30.7)
2018-02-07,105,POINT(-85.2 30.7)
2018-02-07,99,POINT(-85.1 30.7)
2018-02-07,63,POINT(-84.9 30.7)
2018-02-07,45,POINT(-84.8 30.7)
2018-02-07,26,POINT(-84.4 30.7)
2018-02-07,25,POINT(-84.1 30.7)
2018-02-07,37,POINT(-95 30.8)
2018-02-07,101,POINT(-92 30.8)
2018-02-07,31,POINT(-91 30.8)
2018-02-07,99,POINT(-87 30.8)
2018-02-07,54,POINT(-86 30.8)
2018-02-07,40,POINT(-85 30.8)
2018-02-07,41,POINT(-94.9 30.9)
2018-02-07,25,POINT(-94.2 30.9)
2018-02-07,37,POINT(-93.6 30.9)
2018-02-07,56,POINT(-93.5 30.9)
2018-02-07,42,POINT(-93.4 30.9)
2018-02-07,39,POINT(-93.2 30.9)
2018-02-07,113,POINT(-93.1 30.9)
2018-02-07,84,POINT(-92.9 30.9)
2018-02-07,194,POINT(-92.8 30.9)
2018-02-07,415,POINT(-92.7 30.9)
2018-02-07,535,POINT(-92.6 30.9)
2018-02-07,351,POINT(-92.5 30.9)
2018-02-07,287,POINT(-92.4 30.9)
2018-02-07,296,POINT(-92.3 30.9)
2018-02-07,177,POINT(-92.2 30.9)
2018-02-07,161,POINT(-93.2 30.8)
2018-02-07,104,POINT(-93.1 30.8)
2018-02-07,84,POINT(-92.7 30.8)
2018-02-07,120,POINT(-92.6 30.8)
2018-02-07,115,POINT(-92.5 30.8)
2018-02-07,86,POINT(-92.4 30.8)
2018-02-07,29,POINT(-92.3 30.8)
2018-02-07,23,POINT(-92.2 30.8)
2018-02-07,36,POINT(-92.1 30.8)
2018-02-07,65,POINT(-91.9 30.8)
2018-02-07,73,POINT(-91.8 30.8)
2018-02-07,41,POINT(-91.7 30.8)
2018-02-07,100,POINT(-91.6 30.8)
2018-02-07,42,POINT(-91.4 30.8)
2018-02-07,84,POINT(-90.8 30.8)
2018-02-07,124,POINT(-90.7 30.8)
2018-02-07,87,POINT(-90.6 30.8)
